image_id,relative_path,class_id,is_train,bbox_x,bbox_y,bbox_width,bbox_height,class_name,split,display_name
1,001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,1,0,60.0,27.0,325.0,304.0,001.Black_footed_Albatross,test,Black footed Albatross
2,001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,1,1,139.0,30.0,153.0,264.0,001.Black_footed_Albatross,train,Black footed Albatross
3,001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,1,0,14.0,112.0,388.0,186.0,001.Black_footed_Albatross,test,Black footed Albatross
4,001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,1,1,112.0,90.0,255.0,242.0,001.Black_footed_Albatross,train,Black footed Albatross
5,001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,1,1,70.0,50.0,134.0,303.0,001.Black_footed_Albatross,train,Black footed Albatross
6,001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,1,0,33.0,53.0,251.0,395.0,001.Black_footed_Albatross,test,Black footed Albatross
7,001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,1,1,7.0,75.0,420.0,262.0,001.Black_footed_Albatross,train,Black footed Albatross
8,001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,1,1,78.0,86.0,333.0,158.0,001.Black_footed_Albatross,train,Black footed Albatross
9,001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,1,1,112.0,76.0,221.0,189.0,001.Black_footed_Albatross,train,Black footed Albatross
10,001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg,1,0,27.0,4.0,199.0,201.0,001.Black_footed_Albatross,test,Black footed Albatross
11,001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,1,1,1.0,52.0,342.0,260.0,001.Black_footed_Albatross,train,Black footed Albatross
12,001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg,1,0,47.0,21.0,179.0,249.0,001.Black_footed_Albatross,test,Black footed Albatross
13,001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,1,0,36.0,32.0,197.0,457.0,001.Black_footed_Albatross,test,Black footed Albatross
14,001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,1,0,37.0,40.0,262.0,184.0,001.Black_footed_Albatross,test,Black footed Albatross
15,001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,1,1,23.0,80.0,395.0,237.0,001.Black_footed_Albatross,train,Black footed Albatross
16,001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,1,0,141.0,87.0,256.0,211.0,001.Black_footed_Albatross,test,Black footed Albatross
17,001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg,1,0,40.0,38.0,254.0,209.0,001.Black_footed_Albatross,test,Black footed Albatross
18,001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,1,1,45.0,58.0,254.0,249.0,001.Black_footed_Albatross,train,Black footed Albatross
19,001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg,1,0,135.0,83.0,304.0,181.0,001.Black_footed_Albatross,test,Black footed Albatross
20,001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,1,1,23.0,195.0,255.0,122.0,001.Black_footed_Albatross,train,Black footed Albatross
21,001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,1,1,11.0,77.0,281.0,139.0,001.Black_footed_Albatross,train,Black footed Albatross
22,001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,1,0,5.0,4.0,210.0,130.0,001.Black_footed_Albatross,test,Black footed Albatross
23,001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,1,1,154.0,93.0,188.0,165.0,001.Black_footed_Albatross,train,Black footed Albatross
24,001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg,1,0,50.0,25.0,156.0,139.0,001.Black_footed_Albatross,test,Black footed Albatross
25,001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg,1,0,172.0,106.0,265.0,214.0,001.Black_footed_Albatross,test,Black footed Albatross
26,001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg,1,0,37.0,61.0,409.0,180.0,001.Black_footed_Albatross,test,Black footed Albatross
27,001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,1,0,65.0,62.0,309.0,345.0,001.Black_footed_Albatross,test,Black footed Albatross
28,001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,1,0,1.0,2.0,499.0,286.0,001.Black_footed_Albatross,test,Black footed Albatross
29,001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,1,0,97.0,3.0,235.0,254.0,001.Black_footed_Albatross,test,Black footed Albatross
30,001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg,1,1,90.0,29.0,224.0,211.0,001.Black_footed_Albatross,train,Black footed Albatross
31,001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,1,1,38.0,15.0,314.0,301.0,001.Black_footed_Albatross,train,Black footed Albatross
32,001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg,1,1,20.0,91.0,416.0,203.0,001.Black_footed_Albatross,train,Black footed Albatross
33,001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,1,0,82.0,52.0,260.0,260.0,001.Black_footed_Albatross,test,Black footed Albatross
34,001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,1,0,66.0,115.0,360.0,214.0,001.Black_footed_Albatross,test,Black footed Albatross
35,001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg,1,1,19.0,18.0,464.0,294.0,001.Black_footed_Albatross,train,Black footed Albatross
36,001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,1,1,72.0,40.0,286.0,225.0,001.Black_footed_Albatross,train,Black footed Albatross
37,001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,1,1,216.0,119.0,221.0,154.0,001.Black_footed_Albatross,train,Black footed Albatross
38,001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,1,0,40.0,4.0,368.0,445.0,001.Black_footed_Albatross,test,Black footed Albatross
39,001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,1,0,69.0,57.0,199.0,141.0,001.Black_footed_Albatross,test,Black footed Albatross
40,001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,1,1,130.0,29.0,202.0,393.0,001.Black_footed_Albatross,train,Black footed Albatross
41,001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,1,1,53.0,46.0,302.0,317.0,001.Black_footed_Albatross,train,Black footed Albatross
42,001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,1,1,25.0,17.0,368.0,299.0,001.Black_footed_Albatross,train,Black footed Albatross
43,001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,1,1,137.0,64.0,287.0,156.0,001.Black_footed_Albatross,train,Black footed Albatross
44,001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,1,0,111.0,42.0,133.0,219.0,001.Black_footed_Albatross,test,Black footed Albatross
45,001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,1,0,58.0,51.0,388.0,211.0,001.Black_footed_Albatross,test,Black footed Albatross
46,001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,1,1,13.0,28.0,212.0,283.0,001.Black_footed_Albatross,train,Black footed Albatross
47,001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg,1,0,5.0,127.0,496.0,131.0,001.Black_footed_Albatross,test,Black footed Albatross
48,001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126.jpg,1,0,113.0,260.0,127.0,130.0,001.Black_footed_Albatross,test,Black footed Albatross
49,001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,1,1,49.0,69.0,253.0,211.0,001.Black_footed_Albatross,train,Black footed Albatross
50,001.Black_footed_Albatross/Black_Footed_Albatross_0045_796129.jpg,1,0,24.0,144.0,433.0,130.0,001.Black_footed_Albatross,test,Black footed Albatross
51,001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg,1,1,151.0,152.0,310.0,200.0,001.Black_footed_Albatross,train,Black footed Albatross
52,001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg,1,0,157.0,45.0,103.0,324.0,001.Black_footed_Albatross,test,Black footed Albatross
53,001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg,1,1,60.0,29.0,432.0,355.0,001.Black_footed_Albatross,train,Black footed Albatross
54,001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg,1,0,131.0,36.0,212.0,304.0,001.Black_footed_Albatross,test,Black footed Albatross
55,001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,1,1,152.0,86.0,120.0,141.0,001.Black_footed_Albatross,train,Black footed Albatross
56,001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,1,1,2.0,45.0,189.0,120.0,001.Black_footed_Albatross,train,Black footed Albatross
57,001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,1,0,214.0,87.0,204.0,179.0,001.Black_footed_Albatross,test,Black footed Albatross
58,001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg,1,1,46.0,24.0,197.0,117.0,001.Black_footed_Albatross,train,Black footed Albatross
59,001.Black_footed_Albatross/Black_Footed_Albatross_0058_796074.jpg,1,0,72.0,29.0,224.0,262.0,001.Black_footed_Albatross,test,Black footed Albatross
60,001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg,1,1,96.0,77.0,260.0,170.0,001.Black_footed_Albatross,train,Black footed Albatross
61,002.Laysan_Albatross/Laysan_Albatross_0002_1027.jpg,2,0,144.0,40.0,333.0,165.0,002.Laysan_Albatross,test,Laysan Albatross
62,002.Laysan_Albatross/Laysan_Albatross_0003_1033.jpg,2,1,202.0,28.0,164.0,340.0,002.Laysan_Albatross,train,Laysan Albatross
63,002.Laysan_Albatross/Laysan_Albatross_0082_524.jpg,2,0,72.0,68.0,383.0,225.0,002.Laysan_Albatross,test,Laysan Albatross
64,002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg,2,1,60.0,128.0,438.0,106.0,002.Laysan_Albatross,train,Laysan Albatross
65,002.Laysan_Albatross/Laysan_Albatross_0070_788.jpg,2,0,32.0,35.0,259.0,361.0,002.Laysan_Albatross,test,Laysan Albatross
66,002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg,2,1,41.0,79.0,387.0,202.0,002.Laysan_Albatross,train,Laysan Albatross
67,002.Laysan_Albatross/Laysan_Albatross_0071_792.jpg,2,1,156.0,35.0,126.0,259.0,002.Laysan_Albatross,train,Laysan Albatross
68,002.Laysan_Albatross/Laysan_Albatross_0053_543.jpg,2,0,108.0,123.0,230.0,149.0,002.Laysan_Albatross,test,Laysan Albatross
69,002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg,2,1,82.0,75.0,308.0,260.0,002.Laysan_Albatross,train,Laysan Albatross
70,002.Laysan_Albatross/Laysan_Albatross_0001_545.jpg,2,0,89.0,172.0,108.0,146.0,002.Laysan_Albatross,test,Laysan Albatross
71,002.Laysan_Albatross/Laysan_Albatross_0023_1059.jpg,2,0,83.0,124.0,211.0,250.0,002.Laysan_Albatross,test,Laysan Albatross
72,002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg,2,1,75.0,80.0,375.0,277.0,002.Laysan_Albatross,train,Laysan Albatross
73,002.Laysan_Albatross/Laysan_Albatross_0061_563.jpg,2,1,41.0,31.0,384.0,260.0,002.Laysan_Albatross,train,Laysan Albatross
74,002.Laysan_Albatross/Laysan_Albatross_0085_564.jpg,2,1,45.0,31.0,268.0,306.0,002.Laysan_Albatross,train,Laysan Albatross
75,002.Laysan_Albatross/Laysan_Albatross_0005_565.jpg,2,1,38.0,91.0,316.0,193.0,002.Laysan_Albatross,train,Laysan Albatross
76,002.Laysan_Albatross/Laysan_Albatross_0060_777.jpg,2,0,137.0,72.0,202.0,211.0,002.Laysan_Albatross,test,Laysan Albatross
77,002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg,2,1,15.0,25.0,409.0,274.0,002.Laysan_Albatross,train,Laysan Albatross
78,002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg,2,1,193.0,46.0,202.0,195.0,002.Laysan_Albatross,train,Laysan Albatross
79,002.Laysan_Albatross/Laysan_Albatross_0080_821.jpg,2,0,99.0,115.0,316.0,284.0,002.Laysan_Albatross,test,Laysan Albatross
80,002.Laysan_Albatross/Laysan_Albatross_0092_834.jpg,2,1,71.0,50.0,312.0,236.0,002.Laysan_Albatross,train,Laysan Albatross
81,002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg,2,1,67.0,25.0,358.0,248.0,002.Laysan_Albatross,train,Laysan Albatross
82,002.Laysan_Albatross/Laysan_Albatross_0091_602.jpg,2,0,109.0,13.0,276.0,295.0,002.Laysan_Albatross,test,Laysan Albatross
83,002.Laysan_Albatross/Laysan_Albatross_0102_611.jpg,2,0,35.0,114.0,418.0,216.0,002.Laysan_Albatross,test,Laysan Albatross
84,002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,2,1,41.0,89.0,378.0,304.0,002.Laysan_Albatross,train,Laysan Albatross
85,002.Laysan_Albatross/Laysan_Albatross_0017_614.jpg,2,0,8.0,75.0,350.0,424.0,002.Laysan_Albatross,test,Laysan Albatross
86,002.Laysan_Albatross/Laysan_Albatross_0047_619.jpg,2,1,157.0,36.0,195.0,365.0,002.Laysan_Albatross,train,Laysan Albatross
87,002.Laysan_Albatross/Laysan_Albatross_0035_876.jpg,2,0,30.0,7.0,437.0,321.0,002.Laysan_Albatross,test,Laysan Albatross
88,002.Laysan_Albatross/Laysan_Albatross_0098_621.jpg,2,0,58.0,91.0,332.0,256.0,002.Laysan_Albatross,test,Laysan Albatross
