feature_group,feature_count,n_estimators,trait,unit,n,mae,rmse,r2,baseline_mae,baseline_rmse,baseline_r2
颜色与形状,43,150,体重_g,g,5794,337.5258831709149,742.6655503817094,0.07706836703705289,385.55877097325146,773.2310683492121,-0.00046422752099117837
颜色与形状,43,150,跗蹠长度_mm,mm,5794,10.527899203252083,15.405969686650376,0.16108615061125497,11.950763345326687,16.822088520290638,-0.0002282445726442539
颜色与形状,43,150,翅长_mm,mm,5794,68.02991153097936,98.29643683319577,0.25475657351939196,82.71693556978909,113.87172854912318,-0.0001253370658182984
颜色与形状,43,150,尾长_mm,mm,5794,33.93181053125135,48.162620532286596,0.16904641226353867,37.70510638932569,52.83503575436481,-1.2913033620165493e-06
颜色与形状,43,150,喙长_mm,mm,5794,17.083685624604936,33.781564260239556,0.09135467565788258,19.54562722888577,35.442330372352366,-0.00018289634729695692
颜色与形状,43,150,喙宽_mm,mm,5794,3.051733470454274,5.201441631202815,0.08274162184959877,3.2170771911020437,5.431496321478268,-0.00019161195513661688
颜色与形状,43,150,喙深_mm,mm,5794,4.111275806395402,6.306593315450724,0.1361014697680224,4.564636763100691,6.785968458556514,-0.00022281426079451272
增加纹理,65,150,体重_g,g,5794,328.47165833980324,735.4818839434756,0.09483670825596868,385.55877097325146,773.2310683492121,-0.00046422752099117837
增加纹理,65,150,跗蹠长度_mm,mm,5794,10.261234294140676,15.173028004389074,0.18626348452711372,11.950763345326687,16.822088520290638,-0.0002282445726442539
增加纹理,65,150,翅长_mm,mm,5794,66.48052175694353,96.46897698600146,0.28220909782919246,82.71693556978909,113.87172854912318,-0.0001253370658182984
增加纹理,65,150,尾长_mm,mm,5794,33.37015797788161,47.3387771139052,0.19723095241725896,37.70510638932569,52.83503575436481,-1.2913033620165493e-06
增加纹理,65,150,喙长_mm,mm,5794,16.809650918985007,33.45320451924299,0.10893304983519747,19.54562722888577,35.442330372352366,-0.00018289634729695692
增加纹理,65,150,喙宽_mm,mm,5794,3.020352310669494,5.1589946021941895,0.0976513446344216,3.2170771911020437,5.431496321478268,-0.00019161195513661688
增加纹理,65,150,喙深_mm,mm,5794,4.050715726811437,6.238507448709029,0.15465404525269122,4.564636763100691,6.785968458556514,-0.00022281426079451272
完整特征,68,150,体重_g,g,5794,329.0724475805069,736.1840811801801,0.09310748393269686,385.55877097325146,773.2310683492121,-0.00046422752099117837
完整特征,68,150,跗蹠长度_mm,mm,5794,10.257092883843946,15.155883115365135,0.1881014222130848,11.950763345326687,16.822088520290638,-0.0002282445726442539
完整特征,68,150,翅长_mm,mm,5794,66.42759761733954,96.33946812725422,0.284135061682678,82.71693556978909,113.87172854912318,-0.0001253370658182984
完整特征,68,150,尾长_mm,mm,5794,33.36296583535766,47.382547033033084,0.19574576912725217,37.70510638932569,52.83503575436481,-1.2913033620165493e-06
完整特征,68,150,喙长_mm,mm,5794,16.826824439972494,33.52486966180081,0.1051111833613061,19.54562722888577,35.442330372352366,-0.00018289634729695692
完整特征,68,150,喙宽_mm,mm,5794,3.018116977055444,5.164016997002143,0.09589357687987843,3.2170771911020437,5.431496321478268,-0.00019161195513661688
完整特征,68,150,喙深_mm,mm,5794,4.0481657942053655,6.233511488926171,0.1560074533737733,4.564636763100691,6.785968458556514,-0.00022281426079451272
