class_id,display_name,scientific_name
1,Black footed Albatross,Phoebastria nigripes
2,Laysan Albatross,Phoebastria immutabilis
3,Sooty Albatross,Phoebetria fusca
4,Groove billed Ani,Crotophaga sulcirostris
5,Crested Auklet,Aethia cristatella
6,Least Auklet,Aethia pusilla
7,Parakeet Auklet,Aethia psittacula
8,Rhinoceros Auklet,Cerorhinca monocerata
9,Brewer Blackbird,Euphagus cyanocephalus
10,Red winged Blackbird,Agelaius phoeniceus
11,Rusty Blackbird,Euphagus carolinus
12,Yellow headed Blackbird,Xanthocephalus xanthocephalus
13,Bobolink,Dolichonyx oryzivorus
14,Indigo Bunting,Passerina cyanea
15,Lazuli Bunting,Passerina amoena
16,Painted Bunting,Passerina ciris
17,Cardinal,Cardinalis cardinalis
18,Spotted Catbird,Ailuroedus crassirostris
19,Gray Catbird,Dumetella carolinensis
20,Yellow breasted Chat,Icteria virens
21,Eastern Towhee,Pipilo erythrophthalmus
22,Chuck will Widow,Caprimulgus carolinensis
23,Brandt Cormorant,Phalacrocorax penicillatus
24,Red faced Cormorant,Phalacrocorax urile
25,Pelagic Cormorant,Phalacrocorax pelagicus
26,Bronzed Cowbird,Molothrus aeneus
27,Shiny Cowbird,Molothrus bonariensis
28,Brown Creeper,Certhia americana
29,American Crow,Corvus brachyrhynchos
30,Fish Crow,Corvus ossifragus
31,Black billed Cuckoo,Coccyzus erythropthalmus
32,Mangrove Cuckoo,Coccyzus minor
33,Yellow billed Cuckoo,Coccyzus americanus
34,Gray crowned Rosy Finch,Leucosticte tephrocotis
35,Purple Finch,Carpodacus purpureus
36,Northern Flicker,Colaptes auratus
37,Acadian Flycatcher,Empidonax virescens
38,Great Crested Flycatcher,Myiarchus crinitus
39,Least Flycatcher,Empidonax minimus
40,Olive sided Flycatcher,Contopus cooperi
41,Scissor tailed Flycatcher,Tyrannus forficatus
42,Vermilion Flycatcher,Pyrocephalus rubinus
43,Yellow bellied Flycatcher,Empidonax flaviventris
44,Frigatebird,Fregata magnificens
45,Northern Fulmar,Fulmarus glacialis
46,Gadwall,Anas strepera
47,American Goldfinch,Carduelis tristis
48,European Goldfinch,Carduelis carduelis
49,Boat tailed Grackle,Quiscalus major
50,Eared Grebe,Podiceps nigricollis
51,Horned Grebe,Podiceps auritus
52,Pied billed Grebe,Podilymbus podiceps
53,Western Grebe,Aechmophorus occidentalis
54,Blue Grosbeak,Passerina caerulea
55,Evening Grosbeak,Coccothraustes vespertinus
56,Pine Grosbeak,Pinicola enucleator
57,Rose breasted Grosbeak,Pheucticus ludovicianus
58,Pigeon Guillemot,Cepphus columba
59,California Gull,Larus californicus
60,Glaucous winged Gull,Larus glaucescens
61,Heermann Gull,Larus heermanni
62,Herring Gull,Larus argentatus
63,Ivory Gull,Pagophila eburnea
64,Ring billed Gull,Larus delawarensis
65,Slaty backed Gull,Larus schistisagus
66,Western Gull,Larus occidentalis
67,Anna Hummingbird,Calypte anna
68,Ruby throated Hummingbird,Archilochus colubris
69,Rufous Hummingbird,Selasphorus rufus
70,Green Violetear,Colibri thalassinus
71,Long tailed Jaeger,Stercorarius longicaudus
72,Pomarine Jaeger,Stercorarius pomarinus
73,Blue Jay,Cyanocitta cristata
74,Florida Jay,Aphelocoma coerulescens
75,Green Jay,Cyanocorax yncas
