,体重_g,跗蹠长度_mm,翅长_mm,尾长_mm,喙长_mm,喙宽_mm,喙深_mm
color_hist_h_0,0.030655030776550126,-0.012819137737839551,-0.05398590331914325,-0.03350539047826596,-0.08658876905175668,-0.05757244196873517,-0.0618559952235535
color_hist_h_1,-0.6111850511200779,-0.36948683732524895,-0.5766881610840568,-0.4132589003006197,-0.4701245724569455,-0.40713746846002424,-0.4488092610361477
color_hist_h_2,-0.2585486937094431,-0.1951665154722838,-0.22063425692760902,-0.08410099020254212,-0.14018133970320776,-0.07406318417101937,-0.1412852618879468
color_hist_h_3,0.20725746904010575,0.15927127969206104,0.2149993343580162,0.13739670198183615,0.2683026258949017,0.21979429527556124,0.22183367320786904
color_hist_h_4,0.6255150329662506,0.38282201079906847,0.6733788722386157,0.45528464437471977,0.5948848847208397,0.4894253943635571,0.5307701049206551
color_hist_h_5,0.5537248690193175,0.3596941591726989,0.5980570655070929,0.43581608642691466,0.49511623754828443,0.4133315301606229,0.47459084344579017
color_hist_h_6,0.42740112137860425,0.26631269241469624,0.4529501216046402,0.30088698685091425,0.4276267410021056,0.34763711822308774,0.3509756155057631
color_hist_h_7,0.23745423440746444,0.09341071878373412,0.2164843798375575,0.09574522343980661,0.20461438261051482,0.24674675292855985,0.2060598843599341
color_hist_s_0,0.5030786660388584,0.3024951980886404,0.5533871974916782,0.35618978192443823,0.4431362743382013,0.33764125142395035,0.4069576014816977
color_hist_s_1,0.42607207668942715,0.24130671072598095,0.4269168243344994,0.25079690810582755,0.3053948471962818,0.23246597872554461,0.25480418482568157
color_hist_s_2,0.03615496571206691,0.06099122370195781,-0.017412533259106543,0.025028538687762693,-0.08027934868115814,0.0226758019965722,-0.04589168174927516
color_hist_s_3,-0.24740331894580211,-0.14535331585943856,-0.3133910976073223,-0.1476788786935694,-0.30468004957227085,-0.11024109547473404,-0.1900685673953079
color_hist_s_4,-0.4750397232283634,-0.3066467355866769,-0.5208549511911206,-0.30492365437316593,-0.43705861940917606,-0.2399848209715299,-0.3249457510043109
color_hist_s_5,-0.5652437563423321,-0.3811756467867487,-0.591029350283203,-0.3699041010705497,-0.44585445543937213,-0.33305853095296123,-0.41266508920550465
